,body type,Kilometers driven,Transmission type,Number of owners,car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of Doors,City
4819,4,66518,1,1,243,2019,633000.0,4,4,7,999.0,20.0,116,0,0,1,170,5,3
4820,8,57927,1,1,63,2017,814000.0,4,0,5,1497.0,17.8,116,0,0,4,195,4,3
4821,8,40000,1,1,163,2019,900000.0,4,5,5,1462.0,21.56,86,0,0,4,170,4,3
4822,2,16115,1,1,273,2021,605000.0,4,0,5,1199.0,19.01,86,0,0,1,170,5,3
4823,2,50829,1,2,89,2009,270000.0,4,2,5,1197.0,20.36,110,0,0,4,170,4,3
4824,2,25467,1,1,78,2019,622000.0,4,0,5,1197.0,20.7,86,0,0,1,170,5,3
4825,2,71071,1,1,155,2020,317000.0,4,4,5,796.0,22.05,116,0,0,4,170,5,3
4826,8,55000,1,1,86,2016,795000.0,4,5,5,1591.0,17.01,116,0,0,4,196,4,3
4827,2,55563,1,2,90,2017,602000.0,4,0,5,1197.0,18.6,138,0,0,4,170,5,3
4828,2,54000,0,1,77,2015,575000.0,4,5,5,1197.0,18.9,84,0,0,4,163,5,3
4829,2,70000,1,2,90,2019,675000.0,4,5,5,1197.0,18.6,86,0,0,4,170,5,3
4830,8,54000,0,1,308,2017,1999000.0,1,5,5,1969.0,27.03,8,3,0,4,215,4,3
4831,7,41000,0,1,50,2016,750000.0,4,5,5,1496.0,14.7,57,0,0,1,170,4,3
4832,2,70000,1,2,90,2011,350000.0,4,5,5,1197.0,18.5,86,0,0,4,170,5,3
4833,2,62500,1,1,157,2020,749000.0,4,4,5,1197.0,21.01,110,0,0,1,170,5,3
4834,2,20000,1,1,81,2021,550000.0,4,5,5,1086.0,20.3,86,0,0,1,170,5,3
4835,2,60350,1,1,90,2016,599000.0,4,0,5,1197.0,18.6,138,0,0,4,170,5,3
4836,2,52266,1,1,90,2015,570000.0,4,0,5,1197.0,18.6,110,0,0,4,170,5,3
4837,8,58431,1,1,163,2018,894999.9999999999,1,5,5,1248.0,28.09,9,3,0,4,170,4,3
4838,8,41372,0,1,63,2017,1011000.0,4,5,5,1497.0,18.0,116,0,0,4,195,4,3
4839,2,46863,1,2,155,2014,267000.0,4,5,5,796.0,22.05,116,0,0,4,170,5,3
4840,8,66500,0,1,228,2014,570000.0,4,5,5,1498.0,17.97,116,0,0,4,165,4,3
4841,2,49374,1,2,89,2014,369000.0,4,5,5,1086.0,19.81,116,0,0,4,165,5,3
4842,8,120000,1,2,249,2012,360000.0,1,5,5,1598.0,20.5,86,3,0,4,170,4,3
4843,2,62832,1,1,273,2021,605000.0,4,4,5,1199.0,19.01,116,0,0,1,170,5,3
4844,2,61155,1,2,90,2016,585000.0,4,5,5,1197.0,18.6,116,0,0,4,170,5,3
4845,2,75000,0,1,12,2014,1798999.9999999998,1,5,5,1995.0,20.58,110,3,0,4,210,5,3
4846,2,12045,1,2,179,2021,723000.0,4,5,5,1197.0,22.38,116,0,0,1,170,5,3
4847,8,60700,1,1,163,2020,894999.9999999999,4,4,5,1462.0,20.65,138,0,0,4,170,4,3
4848,8,85000,0,1,197,2013,1350000.0,1,5,5,2143.0,14.84,138,3,0,4,228,4,3
4849,8,44276,0,1,63,2020,1320000.0,4,5,5,1497.0,16.4,51,0,0,4,164,4,3
4850,8,99000,0,1,3,2015,1999000.0,1,5,5,1968.0,17.11,8,3,0,4,222,4,3
4851,8,78000,0,1,4,2015,2499000.0,1,5,5,1968.0,17.68,8,3,0,4,222,4,3
4852,8,70000,0,2,99,2013,1700000.0,1,5,5,2179.0,16.36,138,3,0,4,225,4,3
4853,8,70000,0,1,99,2013,1800000.0,1,5,5,2179.0,16.36,138,3,0,4,225,4,3
4854,8,70000,0,1,99,2013,1750000.0,1,5,5,2179.0,16.36,138,3,0,4,225,4,3
4855,2,22264,1,1,155,2021,429000.0,4,4,5,796.0,22.05,138,0,0,4,170,5,3
4856,2,103763,1,1,172,2018,376000.0,4,5,5,1197.0,20.89,138,0,0,1,170,5,3
4857,7,109000,0,1,314,2012,1015000.0,1,5,5,1985.0,14.7,14,3,0,4,170,5,3
4858,2,49043,1,2,89,2012,312000.0,4,5,5,1197.0,20.36,116,0,0,4,170,4,3
4859,2,70666,0,2,160,2017,492000.0,4,0,5,998.0,23.1,110,0,0,4,150,5,3
4860,7,128000,0,1,115,2011,3700000.0,1,5,5,2993.0,14.7,8,3,0,4,209,5,3
4861,8,65815,0,1,180,2018,800000.0,1,0,5,1248.0,28.4,116,3,0,4,170,4,3
4862,2,79000,1,1,154,2010,165000.0,4,5,5,796.0,19.7,66,0,0,4,137,5,3
4863,2,48580,0,1,157,2020,831000.0,4,0,5,1197.0,21.4,86,0,0,4,180,5,3
4864,2,44646,1,1,90,2018,691000.0,4,0,5,1197.0,18.6,138,0,0,4,170,5,3
4865,2,71963,1,1,184,2008,175000.0,4,0,5,998.0,21.79,110,0,0,4,170,5,3
4866,2,26678,1,2,77,2017,493000.0,4,0,5,1197.0,18.9,110,0,0,4,165,5,3
4867,8,152000,1,1,63,2015,599000.0,1,5,5,1498.0,26.0,138,3,0,4,190,4,3
4868,7,101000,0,1,51,2016,2395000.0,1,5,7,2198.0,12.62,66,3,0,4,170,5,3
4869,2,41000,1,1,27,2012,320000.0,1,5,5,936.0,25.44,116,0,0,4,170,5,3
4870,7,109000,1,1,285,2018,3150000.0,1,5,7,2755.0,14.24,138,3,0,4,170,5,3
4871,8,83000,1,1,249,2017,825000.0,1,5,5,1498.0,21.13,138,3,0,4,185,4,3
4872,2,80000,1,1,175,2012,375000.0,1,5,5,1248.0,23.2,9,3,0,4,163,5,3
4873,2,94514,1,3,179,2011,323000.0,1,5,5,1248.0,22.9,8,3,0,4,158,5,3
4874,8,67037,1,1,180,2015,487000.0,4,5,5,1197.0,22.41,116,0,0,1,170,4,3
4875,7,120000,1,1,138,2004,290000.0,1,5,8,2179.0,10.5,110,3,0,4,152,5,3
4876,2,35540,1,2,287,2019,709000.0,4,0,5,1197.0,22.35,138,0,0,4,170,5,3
4877,7,47627,1,1,235,2019,983000.0,1,0,5,1461.0,20.37,84,3,0,4,170,5,3
4878,8,98000,0,1,281,2009,450000.0,4,5,5,1794.0,14.53,138,0,0,4,205,4,3
4879,2,55943,1,1,90,2018,672000.0,4,5,5,1197.0,18.6,116,0,0,4,170,5,3
4880,7,71000,0,1,73,2018,1350000.0,1,5,5,1582.0,17.01,138,3,0,4,190,5,3
4881,2,117924,0,1,160,2018,457000.0,4,5,5,998.0,23.1,86,0,0,4,150,5,3
4882,2,92195,1,1,184,2013,311000.0,4,0,5,998.0,18.9,138,0,0,4,170,4,3
4883,8,40000,0,3,83,2003,150000.0,4,5,5,2359.0,11.0,116,0,0,4,170,4,3
4884,2,49009,0,1,179,2018,623000.0,4,0,5,1197.0,22.56,9,0,0,1,170,5,3
4885,7,31650,0,1,108,2020,1090000.0,4,0,5,998.0,18.3,8,3,0,1,170,5,3
4886,4,20000,1,1,105,2022,1600000.0,4,5,7,1353.0,16.2,138,3,0,4,170,5,3
4887,2,70000,1,1,89,2009,200000.0,4,5,5,1197.0,20.36,86,0,0,4,170,4,3
4888,8,39000,0,1,86,2018,925000.0,1,0,5,1582.0,18.0,8,3,0,4,170,4,3
4889,7,10000,0,1,146,2022,1150000.0,4,5,5,1197.0,16.5,86,3,0,4,170,5,3
4890,7,93615,0,1,73,2018,1150000.0,1,0,5,1582.0,17.01,138,3,0,4,190,5,3
4891,4,6400,1,1,290,2022,2550000.0,4,5,7,2694.0,8.0,138,0,0,4,170,5,3
4892,8,16727,1,2,163,2022,894999.9999999999,4,0,5,1462.0,20.65,86,0,0,4,170,4,3
4893,7,63334,1,3,73,2019,1009000.0,4,5,5,1591.0,15.8,110,0,0,4,170,5,3
4894,7,14000,1,1,225,2021,1050000.0,4,0,5,999.0,20.0,110,3,0,1,170,5,3
4895,2,96540,1,1,172,2018,441000.0,4,5,5,1197.0,20.89,9,0,0,1,170,5,3
4896,8,92585,0,1,295,2018,759000.0,4,5,5,1496.0,17.8,138,0,0,4,170,4,3
4897,7,53861,1,1,50,2014,425000.0,4,5,5,1499.0,15.8,116,0,0,4,182,5,3
4898,2,65761,1,2,184,2012,306000.0,4,5,5,998.0,18.9,116,0,0,4,170,4,3
4899,8,67000,1,2,305,2015,600000.0,1,5,5,1498.0,22.27,50,3,0,4,180,4,3
4900,7,122100,1,2,101,2018,1385000.0,1,4,5,1956.0,17.1,116,3,0,4,170,5,3
4901,8,53873,0,1,180,2017,736000.0,1,0,5,1248.0,28.4,14,3,0,4,170,4,3
4902,7,60000,1,1,183,2019,840000.0,1,5,5,1248.0,24.3,86,3,0,4,172,5,3
4903,2,89197,1,2,179,2013,426000.0,1,5,5,1248.0,22.9,110,3,0,4,158,5,3
4904,2,30000,1,1,39,2020,305000.0,4,5,5,799.0,22.7,86,0,0,4,170,5,3
4905,2,70000,1,1,90,2018,629000.0,4,5,5,1197.0,18.6,86,0,0,4,170,5,3
4906,2,28700,0,1,157,2021,869000.0,4,4,5,1197.0,19.56,57,0,0,1,170,5,3
4907,8,20000,0,2,306,2022,1850000.0,4,5,5,999.0,18.12,138,3,0,1,170,4,3
4908,2,91629,1,1,89,2012,300000.0,4,0,5,1197.0,20.36,116,0,0,4,170,4,3
4909,2,30000,1,1,55,2021,850000.0,1,5,5,1499.0,23.8,138,3,1,1,170,5,3
4910,2,7058,1,1,157,2022,869999.9999999999,4,2,5,1197.0,21.01,79,0,0,1,170,5,3
4911,8,86500,0,1,180,2017,775000.0,1,5,5,1248.0,28.4,138,3,0,4,170,4,3
4912,8,76438,1,2,59,2015,416000.0,4,4,5,1198.0,18.0,14,0,0,4,160,4,3
4913,7,24489,1,2,73,2017,1025000.0,4,6,5,1591.0,13.0,8,0,0,4,170,5,3
4914,2,20000,0,1,179,2022,790000.0,4,5,5,1197.0,22.56,86,0,0,1,170,5,3
4915,8,110600,1,1,86,2017,855000.0000000001,1,0,5,1582.0,23.9,116,3,0,4,190,4,3
4916,2,63840,1,2,157,2019,649000.0,4,5,5,1197.0,21.4,9,0,0,4,180,5,3
4917,2,74000,1,1,89,2009,230000.0,4,5,5,1197.0,20.36,110,0,0,4,170,4,3
4918,2,21314,1,1,273,2021,599000.0,4,6,5,1199.0,19.01,116,0,0,1,170,5,3
4919,8,40007,0,1,86,2017,900000.0,1,0,5,1582.0,18.0,138,3,0,4,170,4,3
4920,8,89997,1,2,180,2015,622000.0,1,5,5,1248.0,26.59,110,3,0,4,169,4,3
4921,2,64736,1,1,61,2014,362000.0,4,0,5,1198.0,19.4,138,0,0,4,164,5,3
4922,7,105000,0,1,7,2013,1295000.0,1,5,5,1968.0,15.73,138,3,0,4,212,5,3
4923,7,40687,1,1,178,2020,964000.0,4,0,5,1462.0,18.55,86,0,0,4,170,5,3
4924,8,33000,0,2,52,2012,395000.0,4,5,5,1499.0,16.97,9,0,0,4,182,4,3
4925,2,57000,0,1,160,2016,460000.0,4,5,5,998.0,23.1,116,0,0,4,150,5,3
4926,4,120000,1,2,289,2006,400000.0,1,5,8,2494.0,12.8,86,0,0,4,151,5,3
4927,7,88000,1,1,107,2019,1325000.0,1,5,5,1493.0,20.8,9,3,0,1,170,5,3
4928,2,80000,1,3,89,2009,215000.0,4,5,5,1197.0,20.36,86,0,0,4,170,4,3
4929,7,49500,1,1,85,2020,1050000.0,4,5,5,998.0,18.0,110,3,0,1,170,5,3
